,file,4Cihan,2Asli,3Cihan,1Asli,5Ozan,fullAgree,fullAgree_score,majority_score
0,58_mel1_per158958.wav,1.0,1.0,1.0,2.0,2.0,False,,1.0
1,53_mel2_ref288658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
2,52_mel1_ref260959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
3,52_mel2_ref376160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
4,51_mel2_ref290695.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
5,54_mel2_ref313160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
6,68_mel2_ref1565742.wav,,4.0,4.0,4.0,,True,4.0,4.0
7,510_mel2_ref312958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
8,510_mel1_ref324759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
9,51_mel2_per139659.wav,2.0,4.0,2.0,4.0,2.0,False,,2.0
10,66_mel2_per1033742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
11,58_mel2_per180160.wav,1.0,2.0,2.0,2.0,2.0,False,,2.0
12,51_mel2_ref327160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
13,510_mel1_ref260695.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
14,62_mel2_ref3609742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
15,63_mel1_ref1481742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
16,61_mel2_per1510752.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
17,510_mel2_ref272559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
18,57_mel2_per182259.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
19,63_mel1_ref2029742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
20,56_mel1_ref367758.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
21,57_mel1_per151659.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
22,610_mel2_ref1997742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
23,63_mel2_per1470742.wav,1.0,4.0,2.0,3.0,3.0,False,,
24,53_mel1_ref365759.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
25,610_mel1_per1392752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
26,54_mel1_per113160.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
27,57_mel2_per108859.wav,2.0,3.0,3.0,4.0,3.0,False,,3.0
28,54_mel1_per137160.wav,3.0,4.0,3.0,4.0,3.0,False,,3.0
29,63_mel1_per1653742.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
30,52_mel1_per176160.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
