,file,4Cihan,2Asli,3Cihan,1Asli,5Ozan,fullAgree,fullAgree_score,majority_score
1,53_mel2_ref288658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
2,52_mel1_ref260959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
3,52_mel2_ref376160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
4,51_mel2_ref290695.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
5,54_mel2_ref313160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
6,68_mel2_ref1565742.wav,,4.0,4.0,4.0,,True,4.0,4.0
7,510_mel2_ref312958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
8,510_mel1_ref324759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
12,51_mel2_ref327160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
13,510_mel1_ref260695.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
14,62_mel2_ref3609742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
15,63_mel1_ref1481742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
17,510_mel2_ref272559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
19,63_mel1_ref2029742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
20,56_mel1_ref367758.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
22,610_mel2_ref1997742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
24,53_mel1_ref365759.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
31,56_mel1_ref393559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
32,51_mel1_ref108858.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
33,53_mel1_ref215558.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
34,57_mel2_ref224658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
35,66_mel1_ref2566742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
37,69_mel1_ref2319742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
38,55_mel1_ref272159.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
41,63_mel1_ref2349742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
42,510_mel2_ref129859.wav,4.0,4.0,4.0,4.0,,True,4.0,4.0
44,68_mel2_ref3283742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
45,57_mel1_ref275958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
47,610_mel1_ref1173742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
48,52_mel2_ref353895.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
49,55_mel1_ref214958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
50,53_mel1_ref154895.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
51,52_mel2_ref218459.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
52,69_mel1_ref2755742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
53,61_mel2_ref2342752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
54,54_mel1_ref269060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
57,63_mel2_ref2158742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
58,59_mel1_ref237559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
59,51_mel2_ref316658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
60,62_mel1_ref2155742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
61,56_mel1_ref373060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
62,56_mel1_ref104160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
64,53_mel2_ref183659.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
65,54_mel2_ref373160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
66,58_mel1_ref358958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
67,55_mel1_ref252958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
68,68_mel1_ref3643742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
70,53_mel1_ref216558.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
71,55_mel1_ref271959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
74,53_mel1_ref247558.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
75,62_mel1_ref3260752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
76,65_mel1_ref3752742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
78,510_mel1_ref396795.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
79,52_mel1_ref148858.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
80,67_mel2_ref1019732.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
81,63_mel1_ref3137742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
82,63_mel1_ref3158742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
83,510_mel2_ref151658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
84,54_mel2_ref253759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
85,51_mel2_ref252859.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
87,510_mel1_ref148959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
88,510_mel1_ref112958.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
90,63_mel2_ref1634742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
92,54_mel1_ref137160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
94,51_mel2_ref208959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
96,52_mel2_ref142159.wav,,4.0,,4.0,,True,4.0,
97,610_mel2_ref2403742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
98,56_mel2_ref369995.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
99,55_mel1_ref148759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
100,63_mel2_ref3137742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
101,52_mel2_ref232685.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
103,66_mel2_ref3702742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
104,54_mel1_ref147559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
105,63_mel1_ref1640752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
106,53_mel1_ref187959.wav,4.0,,4.0,4.0,4.0,True,4.0,4.0
107,53_mel2_ref176558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
108,53_mel2_ref247558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
109,52_mel1_ref160359.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
112,65_mel1_ref1928732.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
114,56_mel2_ref178959.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
115,52_mel1_ref192658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
117,61_mel1_ref1903742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
118,510_mel2_ref309558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
119,63_mel2_ref2809742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
120,510_mel2_ref223558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
121,55_mel2_ref331759.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
