,file,4Cihan,2Asli,3Cihan,1Asli,5Ozan,fullAgree,fullAgree_score,majority_score
0,58_mel1_per158958.wav,1.0,1.0,1.0,2.0,2.0,False,,1.0
9,51_mel2_per139659.wav,2.0,4.0,2.0,4.0,2.0,False,,2.0
10,66_mel2_per1033742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
11,58_mel2_per180160.wav,1.0,2.0,2.0,2.0,2.0,False,,2.0
16,61_mel2_per1510752.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
18,57_mel2_per182259.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
21,57_mel1_per151659.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
23,63_mel2_per1470742.wav,1.0,4.0,2.0,3.0,3.0,False,,
25,610_mel1_per1392752.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
26,54_mel1_per113160.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
27,57_mel2_per108859.wav,2.0,3.0,3.0,4.0,3.0,False,,3.0
28,54_mel1_per137160.wav,3.0,4.0,3.0,4.0,3.0,False,,3.0
29,63_mel1_per1653742.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
30,52_mel1_per176160.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
36,66_mel1_per1325752.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
39,54_mel2_per114060.wav,2.0,3.0,3.0,3.0,2.0,False,,3.0
40,51_mel2_per113495.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
43,610_mel1_per1229742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
46,57_mel1_per182259.wav,1.0,1.0,1.0,1.0,2.0,False,,1.0
55,51_mel2_per172260.wav,1.0,3.0,1.0,3.0,3.0,False,,3.0
56,610_mel2_per1923742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
63,54_mel2_per183060.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
69,65_mel1_per1307742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
72,51_mel2_per108858.wav,1.0,2.0,1.0,1.0,1.0,False,,1.0
73,69_mel2_per1980752.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
77,62_mel1_per1155742.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
86,610_mel2_per1816742.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
89,68_mel2_per1004742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
91,56_mel1_per127959.wav,2.0,3.0,3.0,3.0,3.0,False,,3.0
93,510_mel1_per131559.wav,1.0,1.0,2.0,1.0,1.0,False,,1.0
95,510_mel1_per182959.wav,,3.0,4.0,4.0,3.0,False,,
102,63_mel2_per1640752.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
110,53_mel2_per176060.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
111,63_mel2_per1203742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
113,52_mel2_per116659.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
116,68_mel1_per1938752.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
125,55_mel2_per119658.wav,1.0,2.0,3.0,2.0,1.0,False,,
127,610_mel1_per1608742.wav,1.0,3.0,1.0,2.0,1.0,False,,1.0
129,62_mel2_per1458732.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
131,63_mel1_per1137742.wav,1.0,3.0,2.0,2.0,2.0,False,,2.0
134,69_mel1_per1648742.wav,2.0,3.0,2.0,2.0,2.0,False,,2.0
136,63_mel1_per1628742.wav,1.0,2.0,2.0,2.0,1.0,False,,2.0
137,55_mel2_per127859.wav,3.0,4.0,4.0,4.0,3.0,False,,4.0
155,53_mel1_per156160.wav,2.0,,2.0,2.0,1.0,False,,2.0
157,63_mel2_per1851742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
164,53_mel2_per149558.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
168,58_mel2_per112160.wav,2.0,1.0,2.0,2.0,1.0,False,,2.0
172,57_mel1_per124658.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
174,67_mel2_per1837742.wav,1.0,1.0,2.0,2.0,1.0,False,,1.0
175,52_mel1_per147659.wav,4.0,3.0,4.0,4.0,3.0,False,,4.0
179,51_mel2_per158059.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
180,59_mel1_per139160.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
182,59_mel1_per156260.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
188,69_mel1_per1135742.wav,1.0,3.0,3.0,3.0,3.0,False,,3.0
194,610_mel2_per1608742.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
196,67_mel2_per1964742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
201,51_mel2_per128060.wav,3.0,4.0,4.0,3.0,3.0,False,,3.0
205,59_mel1_per123759.wav,3.0,4.0,4.0,4.0,2.0,False,,4.0
206,55_mel2_per136759.wav,3.0,3.0,2.0,3.0,2.0,False,,3.0
208,54_mel2_per174160.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
217,56_mel1_per169995.wav,1.0,2.0,1.0,2.0,1.0,False,,1.0
219,66_mel2_per1702742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
226,65_mel2_per1632742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
227,57_mel2_per161959.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
233,68_mel1_per1479742.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
237,56_mel1_per198160.wav,3.0,3.0,3.0,2.0,2.0,False,,3.0
240,51_mel1_per172695.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
241,62_mel2_per1218752.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
246,510_mel1_per160695.wav,3.0,4.0,4.0,4.0,4.0,False,,4.0
247,67_mel2_per1882742.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
249,55_mel2_per136495.wav,1.0,1.0,2.0,2.0,2.0,False,,2.0
251,57_mel1_per138559.wav,2.0,3.0,2.0,3.0,3.0,False,,3.0
252,58_mel1_per110060.wav,1.0,1.0,1.0,2.0,1.0,False,,1.0
257,56_mel2_per129658.wav,2.0,3.0,2.0,3.0,1.0,False,,
260,52_mel1_per194260.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
263,65_mel1_per1632742.wav,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0
265,56_mel1_per138759.wav,2.0,2.0,2.0,2.0,2.0,True,2.0,2.0
272,64_mel2_per1978742.wav,4.0,4.0,4.0,4.0,3.0,False,,4.0
274,610_mel2_per1173742.wav,4.0,3.0,3.0,4.0,2.0,False,,
275,55_mel2_per105559.wav,4.0,4.0,4.0,4.0,4.0,True,4.0,4.0
